UTMX	UTMY	Idxa	Gridpt_no.	Sampled	Elev_mean	Slope_mean	Aspece_mean	Aspval_mean	Aspwest_mean	Cir_mean	Cir_median	Red_mean	Red_median	Grn_mean	Grn_median	SpringDist	StreamDist	Dist2Water	DepthClass
480109	4636443	99000497	77	n	2205.65	5.4672	69.3108	0.88143	0.828491	131.434	131	106.359	106	92.0799	90	634.00697	2692.61454	634.00697	Medium
480409	4636443	99000498	78	n	2184.36	5.2272	103.486	0.805464	0.735168	127.101	127	97.2643	98	83.5371	83	693.70236	2469.72695	693.70236	Medium
480709	4636443	99000499	79	n	2196.95	9.4364	188.078	0.439902	0.465427	139.061	138	118.919	119	107.093	105	860.51211	2264.71396	860.51211	Shallow
481009	4636443	99000500	80	n	2179.7	3.6189	113.727	0.537398	0.879754	138.012	138	120.781	121	105.775	105	1086.158	2082.8604	1086.158	Medium
481309	4636443	99000501	81	n	2162.11	6.9307	85.8079	0.688647	0.830135	134.49	134	111.014	111	96.603	96	1341.26706	1930.72151	1341.26706	Shallow
481609	4636443	99000502	82	n	2140.86	7.0778	130.753	0.418792	0.770907	136.019	135	111.938	111	97.2919	97	1611.9105	1815.78184	1611.9105	Shallow
481909	4636443	99000503	83	n	2126.5	5.1088	153.221	0.244902	0.699424	132.189	130	113.189	110	100.175	97	1891.43162	1745.40592	1745.40592	Medium
482209	4636443	99000504	84	n	2124.69	14.3226	255.129	0.624684	0.452632	121.141	118	97.8981	96	84.5753	82	1739.62184	1725.0565	1725.0565	Shallow
482509	4636443	99000505	85	n	2152.56	10.17	293.465	0.748079	0.291764	131.191	131	108.824	109	92.4741	90	1601.28144	1639.3192	1601.28144	Medium
482809	4636443	99000506	86	n	2163.26	2.2262	125.471	0.783271	0.737039	131.122	131	113.775	114	95.0241	95	1510.60266	1555.61742	1510.60266	Medium
483109	4636443	99000507	87	n	2157.06	3.1068	139.565	0.520717	0.796867	139.026	138	123.049	123	104.631	105	1476.39375	1527.26019	1476.39375	Medium
483409	4636443	99000508	88	n	2146.07	4.1114	146.859	0.366341	0.696218	136.426	135	120.971	121	101.381	101	1502.51677	1557.27384	1502.51677	Deep
483709	4636443	99000509	89	n	2138.69	1.9252	118.313	0.51726	0.869118	125.16	127	113.874	115	94.8859	96	1585.9933	1642.46155	1585.9933	Deep
484009	4636443	99000510	90	n	2125.34	6.7012	92.0862	0.682984	0.889468	121.957	120	110.815	109	92.434	90	1551.44084	1774.89663	1551.44084	Deep
484309	4636443	99000511	91	n	2103.58	12.7854	150.108	0.321163	0.599418	123.885	124	115.433	115	95.0113	95	1352.06475	1908.69137	1352.06475	Medium
484609	4636443	99000512	92	n	2093.33	14.2134	159.786	0.196174	0.657436	136.898	138	129.936	131	108.628	110	1195.48714	1776.84014	1195.48714	Medium
484909	4636443	99000513	93	n	2066.84	10.78	127.498	0.387691	0.708258	126.645	126	117.375	118	97.5348	98	1100.13631	1688.5553	1100.13631	Medium
485209	4636443	99000514	94	n	2052.24	7.215	124.686	0.444973	0.708191	133.116	133	126.295	128	104.102	105	1082.3171	1650.84134	1082.3171	Medium
485509	4636443	99000515	95	n	2040.58	4.5873	154.133	0.293291	0.659483	138.463	139	134.604	135	110.308	111	1145.65296	1585.33496	1145.65296	Deep
485809	4636443	99000516	96	n	2048.32	6.404	210.672	0.145973	0.268654	126.861	128	126.07	127	100.039	101	1278.13579	1285.48242	1278.13579	Medium
486109	4636443	99000517	97	n	2047.78	3.0914	100.326	0.589806	0.784732	122.465	124	122.83	123	97.0853	97	1140.8938	985.71962	985.71962	Deep
486409	4636443	99000518	98	n	2038.17	5.938	61.6135	0.841238	0.807624	113.228	112	118.865	118	93.6633	92	861.4495	686.1642	686.1642	Deep
486709	4636443	99000519	99	n	2016.94	9.9675	131.515	0.447606	0.607708	122.789	124	128.674	130	102.178	104	602.12276	387.2976	387.2976	Deep
487009	4636443	99000520	100	n	2003.49	6.321	137.604	0.424457	0.794043	117.477	117	126.152	126	100.452	100	403.74297	95.59301	95.59301	Deep
487309	4636443	99000521	101	n	2023.91	15.7664	230.581	0.155529	0.207599	92.5301	91	109.551	106	77.9212	76	378.76769	189.90092	189.90092	Shallow
487609	4636443	99000522	102	n	2055.96	6.5493	226.396	0.575389	0.375412	115.24	124	125.491	131	97.3353	104	551.29079	478.06816	478.06816	Deep
487909	4636443	99000523	103	n	2056.4	1.4148	93.9902	0.703071	0.9651	130.122	130	136.279	136	111.372	111	802.73165	760.5087	760.5087	Deep
488209	4636443	99000524	104	n	2051.34	0.9255	107.613	0.601028	0.936254	127.331	127	133.434	133	108.425	108	1002.75012	1008.85034	1002.75012	Deep
488509	4636443	99000525	105	n	2052.08	1.9139	212.664	0.154125	0.273945	129.031	129	137.594	137	111.205	111	1183.04097	1274.80594	1183.04097	Deep
488809	4636443	99000526	106	n	2052.14	1.6456	135.382	0.386536	0.796278	129.132	128	135.486	135	109.036	109	1404.87154	1124.60911	1124.60911	Deep
489109	4636443	99000527	107	n	2051.88	1.8841	229.392	0.233622	0.231936	124.334	127	134.371	135	106.372	107	1651.58778	855.84872	855.84872	Deep
489409	4636443	99000528	108	n	2056.32	3.9886	128.185	0.846957	0.497862	109.054	109	119.668	120	94.3661	94	1913.58833	611.38789	611.38789	Medium
489709	4636443	99000529	109	n	2050.06	7.3097	93.4215	0.956902	0.65575	110.126	110	117.391	117	93.3033	93	2185.3829	420.36797	420.36797	Medium
490009	4636443	99000530	110	n	2031.99	10.8885	89.2347	0.960416	0.633632	117.091	118	121.174	122	97.4094	98	2463.73224	301.90286	301.90286	Medium
490309	4636443	99000531	111	n	2016.28	10.741	125.424	0.848286	0.67829	119.322	119	124.926	125	100.827	101	2746.64426	179.56314	179.56314	Deep
490609	4636443	99000532	112	n	1998.54	9.1378	142.314	0.918126	0.574064	119.767	119	124.245	124	98.9362	98	3032.84236	108.61803	108.61803	Deep
490909	4636443	99000533	113	n	1988.18	8.124	126.104	0.870188	0.616084	117.745	117	119.515	120	96.1589	96	3321.47722	81.79538	81.79538	Deep
491209	4636443	99000534	114	n	1986.16	8.3394	123.778	0.894664	0.594382	125.655	124	123.67	124	102.306	102	3611.96471	104.60505	104.60505	Deep
491509	4636443	99000535	115	n	1979.71	7.4477	149.657	0.781135	0.544199	134.463	135	132.369	135	110.404	112	3903.89129	36.58026	36.58026	Deep
491809	4636443	99000536	116	n	1971.13	5.6778	113.946	0.477908	0.643674	135.259	135	128.272	130	109.147	110	4196.95667	31.19483	31.19483	Deep
492109	4636443	99000537	117	n	1972.43	6.3649	194.109	0.090454	0.374141	123.034	123	119.191	120	99.0262	99	4490.93792	114.49594	114.49594	Deep
492409	4636443	99000538	118	n	1981.76	13.1337	181.762	0.201674	0.484106	124.288	128	126.148	129	104.309	107	4579.3684	188.55388	188.55388	Deep
492709	4636443	99000539	119	n	1999.43	14.2163	191.459	0.217189	0.432333	119.303	122	122.14	125	99.3523	102	4509.42492	325.23165	325.23165	Deep
493009	4636443	99000540	120	n	1986.31	9.7916	157.289	0.353406	0.638746	123.434	125	124.973	125	102.156	103	4458.61091	433.06119	433.06119	Deep
493309	4636443	99000541	121	n	1976.83	7.6126	137.558	0.503843	0.765095	123.985	127	124.646	127	102.68	105	4427.58505	512.45221	512.45221	Deep
475609	4636243	99000550	122	n	1818.92	11.5263	218.466	0.626416	0.228547	128.524	136	127.667	126	109.559	102	4594.1914	4986.12217	4594.1914	MedDeep
475909	4636243	99000551	123	n	1925.13	24.8615	252.083	0.172952	0.073073	137.59	140	123.258	131	99.955	105	4299.51773	5185.17622	4299.51773	MedDeep
